feature,latent_dim,final_encoding_weight,mean_boot_encoding_weight,std_boot_encoding_weight,bsr,abs_bsr,bsr_threshold,bsr_selected,bsr_thresholded_weight,top_bsr_percent,top_bsr_cutoff,top_bsr_selected,top_bsr_weight,bsr_sign,fdr_method,fdr_q,fdr_t_value,fdr_p_unc,fdr_p_fdr,fdr_selected,fdr_final_selected,unc_p_threshold,fdr_thresholded_weight,fdr_sign
feature_14,0,0.04053232799887318,0.03522277190984436,0.04815190346352898,0.7314928253360253,0.7314928253360253,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.4667066586682663,0.5884562217991184,False,False,0.005,0.0,zero
feature_15,0,0.08240235845953359,0.07162155513016095,0.04622541329299858,1.5493978317984871,1.5493978317984871,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.1259748050389922,0.214898196831222,False,False,0.005,0.0,zero
feature_16,0,0.1845844586928341,0.16355458818476273,0.051354395832994774,3.1848215821026225,3.1848215821026225,3.0,True,0.1845844586928341,10,5.612873764799786,False,0.0,positive,sign,0.05,,0.003199360127974405,0.011781770630000982,True,True,0.005,0.1845844586928341,positive
feature_17,0,0.11824703226371194,0.10616518342449606,0.052572661913400445,2.01939904810936,2.01939904810936,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.04919016196760648,0.1046983263897679,False,False,0.005,0.0,zero
feature_18,0,0.18436317698793683,0.1649239139108009,0.0508755051202045,3.2417155077110706,3.2417155077110706,3.0,True,0.18436317698793683,10,5.612873764799786,False,0.0,positive,sign,0.05,,0.0015996800639872025,0.0067477413608187445,True,True,0.005,0.18436317698793683,positive
feature_19,0,0.02411962050060613,0.022307471113251164,0.05077386163285566,0.4393495077163098,0.4393495077163098,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.6514697060587883,0.7163079232494733,False,False,0.005,0.0,zero
feature_20,0,0.15613137311422248,0.13792453776289104,0.048093130179514755,2.8678636064666034,2.8678636064666034,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.005598880223955209,0.018556288742251553,True,False,0.005,0.0,zero
feature_21,0,0.19509072734191826,0.17185312946778203,0.05639095540915193,3.0475300200338733,3.0475300200338733,3.0,True,0.19509072734191826,10,5.612873764799786,False,0.0,positive,sign,0.05,,0.001999600079984003,0.007998400319936013,True,True,0.005,0.19509072734191826,positive
feature_22,0,0.12633315421387756,0.11250521373418491,0.060630490400057094,1.8555880546544115,1.8555880546544115,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.0683863227354529,0.13332459558508464,False,False,0.005,0.0,zero
feature_23,0,0.18863193247816182,0.16804579074026132,0.07334503189253679,2.291168009668025,2.291168009668025,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.02439512097580484,0.05957545333038655,False,False,0.005,0.0,zero
feature_24,0,0.15415946538411598,0.13662456640812382,0.05663596827480892,2.4123286061817537,2.4123286061817537,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.01839632073585283,0.047954454053009625,True,False,0.005,0.0,zero
feature_25,0,0.1791349057461082,0.1597589876134321,0.06940936006100003,2.3016922713741894,2.3016922713741894,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.021995600879824034,0.055467167436078,False,False,0.005,0.0,zero
feature_26,0,0.11389364435299823,0.10172494706381457,0.05721748444712292,1.7778647217149657,1.7778647217149657,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.07438512297540492,0.14221418011479672,False,False,0.005,0.0,zero
feature_27,0,0.1438499087769395,0.12979614704128944,0.05530311455045537,2.3469952478512024,2.3469952478512024,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.01279744051189762,0.0371125774845031,True,False,0.005,0.0,zero
feature_28,0,0.07013600587692803,0.06151108242710659,0.05345932619408253,1.1506146224849971,1.1506146224849971,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.2471505698860228,0.3765835068280462,False,False,0.005,0.0,zero
feature_29,0,0.10826132353850242,0.0965767344460581,0.04938808029651445,1.9554664580245686,1.9554664580245686,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.05358928214357129,0.11200642754332017,False,False,0.005,0.0,zero
feature_30,0,-0.16795687555605573,-0.14914353727945445,0.03590885453410732,-4.153391669394338,4.153391669394338,3.0,True,-0.16795687555605573,10,5.612873764799786,False,0.0,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.16795687555605573,negative
feature_31,0,-0.3756064284382861,-0.33268536247947966,0.04441833007316898,-7.489821475311141,7.489821475311141,3.0,True,-0.3756064284382861,10,5.612873764799786,True,-0.3756064284382861,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.3756064284382861,negative
feature_32,0,0.052281777126737886,0.04487783757264489,0.03788142149663804,1.184692543193707,1.184692543193707,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.22955408918216358,0.3574265012769258,False,False,0.005,0.0,zero
feature_33,0,0.11598306080626722,0.10314253714942742,0.04404140508637655,2.34194474375053,2.34194474375053,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.01919616076784643,0.049483436646004124,True,False,0.005,0.0,zero
feature_34,0,0.0945433860652465,0.08515955107692319,0.04343616580920666,1.960567869894099,1.960567869894099,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.04839032193561288,0.1046983263897679,False,False,0.005,0.0,zero
feature_35,0,0.06627741300054761,0.059411363726057695,0.03764444331112301,1.5782239953725945,1.5782239953725945,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.10557888422315537,0.18841770107516959,False,False,0.005,0.0,zero
feature_36,0,0.015213066628710845,0.012697046675384207,0.04372961730483696,0.29035348255791343,0.29035348255791343,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.7714457108578284,0.8066134520843578,False,False,0.005,0.0,zero
feature_37,0,0.0241349722438407,0.02226142819692437,0.04309862393620599,0.5165229458340813,0.5165229458340813,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.5966806638672265,0.6956277086291284,False,False,0.005,0.0,zero
feature_38,0,0.02099190105268556,0.016677913854778192,0.050723973769660397,0.3287974623304016,0.3287974623304016,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.7406518696260748,0.7846175057225997,False,False,0.005,0.0,zero
feature_39,0,0.11325956868442025,0.10073671685916237,0.054678927860595236,1.8423316037942838,1.8423316037942838,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.0615876824635073,0.12291558782260642,False,False,0.005,0.0,zero
feature_40,0,0.10779568532435503,0.09624462803819762,0.02966945355622077,3.2438962131817926,3.2438962131817926,3.0,True,0.10779568532435503,10,5.612873764799786,False,0.0,positive,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,0.10779568532435503,positive
feature_41,0,0.10810664730864955,0.09693455207042799,0.03908281468750206,2.4802346720802024,2.4802346720802024,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.013997200559888023,0.03912470517944604,True,False,0.005,0.0,zero
feature_42,0,0.15785740886415323,0.14153181344952095,0.03405585949790461,4.155872602722863,4.155872602722863,3.0,True,0.15785740886415323,10,5.612873764799786,False,0.0,positive,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,0.15785740886415323,positive
feature_43,0,0.05863206992307968,0.04951271253547503,0.04806344630875677,1.0301531899607919,1.0301531899607919,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.3135372925414917,0.44626166791181643,False,False,0.005,0.0,zero
feature_44,0,0.15497188058133124,0.13885677594520565,0.050742916720086295,2.736476042778203,2.736476042778203,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.004799040191961607,0.016373195949045485,True,True,0.005,0.15497188058133124,positive
feature_45,0,-0.01942627453974715,-0.018845182934263773,0.04803289458083252,-0.39233910632951785,0.39233910632951785,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.6934613077384523,0.7482931320712601,False,False,0.005,0.0,zero
feature_46,0,0.15690526613981542,0.1388290948951403,0.05212905120092364,2.6631809268893902,2.6631809268893902,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.009198160367926415,0.028837475748093623,True,False,0.005,0.0,zero
feature_47,0,0.2137946934176483,0.19075492852411213,0.03445171495988172,5.536877590745255,5.536877590745255,3.0,True,0.2137946934176483,10,5.612873764799786,False,0.0,positive,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,0.2137946934176483,positive
feature_48,0,0.1947365263311468,0.1739155835651599,0.046828872880455515,3.7138537160424647,3.7138537160424647,3.0,True,0.1947365263311468,10,5.612873764799786,False,0.0,positive,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,0.1947365263311468,positive
feature_49,0,0.13677755542457415,0.12176791039303062,0.04225184368551004,2.881954957974769,2.881954957974769,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.005198960207958408,0.017480561858642763,True,False,0.005,0.0,zero
feature_50,0,0.025857401188736587,0.022151147442856213,0.04859851110692831,0.4557988905075385,0.4557988905075385,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.6482703459308138,0.7161843821711847,False,False,0.005,0.0,zero
feature_51,0,0.1179321950866238,0.10615848941650875,0.0350384842179674,3.0297683186326787,3.0297683186326787,3.0,True,0.1179321950866238,10,5.612873764799786,False,0.0,positive,sign,0.05,,0.0015996800639872025,0.0067477413608187445,True,True,0.005,0.1179321950866238,positive
feature_52,0,0.12967289219798292,0.11281297199764596,0.047725055120188854,2.363810198092853,2.363810198092853,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.01839632073585283,0.047954454053009625,True,False,0.005,0.0,zero
feature_53,0,0.10591090079486998,0.09618348154234525,0.03828979313950195,2.511987494733077,2.511987494733077,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.011597680463907219,0.0340590109826136,True,False,0.005,0.0,zero
feature_54,0,-0.11089579542751378,-0.09813485870565328,0.04988571819290728,-1.967193462589179,1.967193462589179,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.05678864227154569,0.11763361613391607,False,False,0.005,0.0,zero
feature_55,0,-0.1338790798450584,-0.12088419668859078,0.055789851113147416,-2.166777546034771,2.166777546034771,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.033193361327734455,0.07700859828034394,False,False,0.005,0.0,zero
feature_56,0,-0.19963227122584537,-0.17729746321108358,0.050352759755669003,-3.521107166149367,3.521107166149367,3.0,True,-0.19963227122584537,10,5.612873764799786,False,0.0,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.19963227122584537,negative
feature_57,0,-0.4180165436130892,-0.3702518344842431,0.04521654852243607,-8.188414343490354,8.188414343490354,3.0,True,-0.4180165436130892,10,5.612873764799786,True,-0.4180165436130892,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.4180165436130892,negative
feature_58,0,-0.19964344637481787,-0.17599940219374433,0.05250648800399776,-3.351955327508174,3.351955327508174,3.0,True,-0.19964344637481787,10,5.612873764799786,False,0.0,negative,sign,0.05,,0.0007998400319936012,0.003786997702500316,True,True,0.005,-0.19964344637481787,negative
feature_59,0,-0.16251889570463104,-0.14433268880100594,0.05087497300425195,-2.837007673477156,2.837007673477156,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.003999200159968006,0.013847976673322052,True,True,0.005,-0.16251889570463104,negative
feature_60,0,-0.362745903192879,-0.32217174868924464,0.05023049457338602,-6.413867739616945,6.413867739616945,3.0,True,-0.362745903192879,10,5.612873764799786,True,-0.362745903192879,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.362745903192879,negative
feature_61,0,-0.02931648803792816,-0.02563951193340182,0.043814503888787035,-0.5851832077907759,0.5851832077907759,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.5562887422515497,0.66279256969119,False,False,0.005,0.0,zero
feature_62,0,0.06608123147803754,0.059531586640172045,0.04345985619146069,1.3698063421541933,1.3698063421541933,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.16796640671865626,0.2783443311337732,False,False,0.005,0.0,zero
feature_63,0,-0.3866005324349488,-0.3419481121586612,0.049242422838959056,-6.944177244831313,6.944177244831313,3.0,True,-0.3866005324349488,10,5.612873764799786,True,-0.3866005324349488,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.3866005324349488,negative
feature_64,0,-0.20448279966228117,-0.1813804583402566,0.042761588580812186,-4.241667916463817,4.241667916463817,3.0,True,-0.20448279966228117,10,5.612873764799786,False,0.0,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.20448279966228117,negative
feature_65,0,-0.12896098084887495,-0.11542172086485203,0.057042044073452536,-2.0234499436279756,2.0234499436279756,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.04879024195160968,0.1046983263897679,False,False,0.005,0.0,zero
feature_66,0,0.0332179261770475,0.028236276450789917,0.051342223583137524,0.5499620873464397,0.5499620873464397,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.5698860227954409,0.6711348085712807,False,False,0.005,0.0,zero
feature_67,0,0.13267217412576537,0.11618339478717649,0.04836746756277051,2.4020979522319537,2.4020979522319537,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.015996800639872025,0.04418163986250369,True,False,0.005,0.0,zero
feature_68,0,0.06942870550767803,0.06089794187131607,0.040485880326418346,1.5041772929308936,1.5041772929308936,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.12917416516696661,0.21874749137763688,False,False,0.005,0.0,zero
feature_69,0,-0.05105078052183764,-0.04595252265878774,0.03762249003557186,-1.2214109862303075,1.2214109862303075,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.22235552889422117,0.3533320733113651,False,False,0.005,0.0,zero
feature_70,0,-0.033101648472976454,-0.030505596171783368,0.03895308171967905,-0.7831369130512715,0.7831369130512715,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.4311137772445511,0.5495516281359113,False,False,0.005,0.0,zero
feature_71,0,-0.18176328624466936,-0.1599804164622286,0.03738714755408589,-4.279021720787709,4.279021720787709,3.0,True,-0.18176328624466936,10,5.612873764799786,False,0.0,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.18176328624466936,negative
feature_72,0,-0.1207031086682679,-0.10674945809077933,0.046744854680477094,-2.2836622088240883,2.2836622088240883,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.02399520095980804,0.05957545333038655,False,False,0.005,0.0,zero
feature_73,0,-0.5973736999259947,-0.5302594687447422,0.04699093997494755,-11.284291589558356,11.284291589558356,3.0,True,-0.5973736999259947,10,5.612873764799786,True,-0.5973736999259947,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.5973736999259947,negative
feature_74,0,-0.5102290126677655,-0.4531004534704967,0.043211797895971904,-10.485572818823481,10.485572818823481,3.0,True,-0.5102290126677655,10,5.612873764799786,True,-0.5102290126677655,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.5102290126677655,negative
feature_75,0,-0.5686073447068523,-0.5040925243460713,0.044398997068576265,-11.353691696402006,11.353691696402006,3.0,True,-0.5686073447068523,10,5.612873764799786,True,-0.5686073447068523,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.5686073447068523,negative
feature_76,0,-0.6124773221380466,-0.5435336641499035,0.04389523327943678,-12.382521370595562,12.382521370595562,3.0,True,-0.6124773221380466,10,5.612873764799786,True,-0.6124773221380466,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.6124773221380466,negative
feature_77,0,-0.47460954822381235,-0.4216527341619957,0.0462508680266261,-9.116644771277699,9.116644771277699,3.0,True,-0.47460954822381235,10,5.612873764799786,True,-0.47460954822381235,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.47460954822381235,negative
feature_78,0,-0.5997826727069847,-0.5308070074519029,0.04230808343501663,-12.546231461115447,12.546231461115447,3.0,True,-0.5997826727069847,10,5.612873764799786,True,-0.5997826727069847,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.5997826727069847,negative
feature_79,0,-0.21461418428648324,-0.19127475502604283,0.037414779496256226,-5.1122780249228,5.1122780249228,3.0,True,-0.21461418428648324,10,5.612873764799786,False,0.0,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.21461418428648324,negative
feature_80,0,-0.5433473561427293,-0.4828259009390612,0.04034093918764239,-11.968633122130308,11.968633122130308,3.0,True,-0.5433473561427293,10,5.612873764799786,True,-0.5433473561427293,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.5433473561427293,negative
feature_81,0,-0.5046071693264215,-0.44868988898684803,0.04069688160923709,-11.025166333260472,11.025166333260472,3.0,True,-0.5046071693264215,10,5.612873764799786,True,-0.5046071693264215,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.5046071693264215,negative
feature_82,0,0.057565256221882515,0.049121285689887134,0.050820313414886346,0.9665679408324639,0.9665679408324639,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.3343331333733253,0.47009264813703927,False,False,0.005,0.0,zero
feature_83,0,-0.150696840267265,-0.13499425193454487,0.04318576098436987,-3.125897260057616,3.125897260057616,3.0,True,-0.150696840267265,10,5.612873764799786,False,0.0,negative,sign,0.05,,0.0023995200959808036,0.009435401055382143,True,True,0.005,-0.150696840267265,negative
feature_84,0,-0.1643807543458815,-0.14716102301055944,0.05024470144057783,-2.9288864057556445,2.9288864057556445,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.003199360127974405,0.011781770630000982,True,True,0.005,-0.1643807543458815,negative
feature_85,0,-0.2216370338259684,-0.1993158542691075,0.04582463082337604,-4.349535406784611,4.349535406784611,3.0,True,-0.2216370338259684,10,5.612873764799786,False,0.0,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.2216370338259684,negative
feature_86,0,-0.07217950937653896,-0.06539608671683403,0.04801779539049363,-1.3619135611082402,1.3619135611082402,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.1811637672465507,0.2959858732478856,False,False,0.005,0.0,zero
feature_87,0,0.027009591682521192,0.020882299436034896,0.04694012037177135,0.4448710244167376,0.4448710244167376,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.6582683463307338,0.7203691337204257,False,False,0.005,0.0,zero
feature_88,0,-0.05754291929630549,-0.05553438181196949,0.0494043311116917,-1.1240792165856708,1.1240792165856708,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.2555488902219556,0.38498274371099805,False,False,0.005,0.0,zero
feature_89,0,0.129703756471223,0.1147679650783882,0.03964197394996338,2.89511226719562,2.89511226719562,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.003999200159968006,0.013847976673322052,True,True,0.005,0.129703756471223,positive
feature_90,0,-0.2794344898859576,-0.24936932292539332,0.04951952920937078,-5.035777336877512,5.035777336877512,3.0,True,-0.2794344898859576,10,5.612873764799786,False,0.0,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.2794344898859576,negative
feature_91,0,0.07166654923041473,0.06287407263105455,0.046807000022497255,1.3432621744789206,1.3432621744789206,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.17956408718256348,0.2954529661443598,False,False,0.005,0.0,zero
feature_92,0,-0.3908149852183633,-0.34614222512178966,0.052016338473942735,-6.654490401995279,6.654490401995279,3.0,True,-0.3908149852183633,10,5.612873764799786,True,-0.3908149852183633,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.3908149852183633,negative
feature_93,0,-0.20825463329071534,-0.1844462019534044,0.04173482419473889,-4.419479547649701,4.419479547649701,3.0,True,-0.20825463329071534,10,5.612873764799786,False,0.0,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.20825463329071534,negative
feature_94,0,0.004284087064989974,0.0012306714976409532,0.045370147720969686,0.02712513755101017,0.02712513755101017,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.9786042791441711,0.9914244225390729,False,False,0.005,0.0,zero
feature_95,0,-0.022201076397609047,-0.021683599203347403,0.039206234637641606,-0.5530650776274533,0.5530650776274533,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.5650869826034793,0.6688784692041183,False,False,0.005,0.0,zero
feature_96,0,-0.4342937312367792,-0.38636859069049856,0.043358342147173566,-8.911055440704507,8.911055440704507,3.0,True,-0.4342937312367792,10,5.612873764799786,True,-0.4342937312367792,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.4342937312367792,negative
feature_97,0,-0.3178862832719769,-0.2830162367063019,0.04775635077349362,-5.926253411795137,5.926253411795137,3.0,True,-0.3178862832719769,10,5.612873764799786,True,-0.3178862832719769,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.3178862832719769,negative
feature_98,0,-0.26633803326681144,-0.23866116376426466,0.0447648093221104,-5.331446003644301,5.331446003644301,3.0,True,-0.26633803326681144,10,5.612873764799786,False,0.0,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.26633803326681144,negative
feature_99,0,-0.03462910658262731,-0.03187953099078757,0.03866382705498111,-0.8245311811852959,0.8245311811852959,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.41031793641271747,0.5347964115042161,False,False,0.005,0.0,zero
feature_100,0,0.029641500075331974,0.022918226607089236,0.03424328865468309,0.6692764482465955,0.6692764482465955,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.5182963407318536,0.631010970580753,False,False,0.005,0.0,zero
feature_101,0,0.003711511932058434,0.002407816913983726,0.03715401377451261,0.06480637404606528,0.06480637404606528,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.9454109178164367,0.9662349468432305,False,False,0.005,0.0,zero
feature_102,0,-0.010632910760473622,-0.010053140407176402,0.03558093876305166,-0.2825428658339923,0.2825428658339923,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.7718456308738252,0.8066134520843578,False,False,0.005,0.0,zero
feature_103,0,-0.040675866906592806,-0.03567274462242187,0.036493248180240946,-0.9775162914036429,0.9775162914036429,3.0,False,0.0,10,5.612873764799786,False,0.0,zero,sign,0.05,,0.3291341731653669,0.4656044400875922,False,False,0.005,0.0,zero
feature_104,0,-0.27168776439835185,-0.23969893040312262,0.034514607348101266,-6.944854623018305,6.944854623018305,3.0,True,-0.27168776439835185,10,5.612873764799786,True,-0.27168776439835185,negative,sign,0.05,,0.0003999200159968006,0.0020169879067664727,True,True,0.005,-0.27168776439835185,negative
