roi,roi_label,beta_brain_delta,beta_interaction_M_nn,beta_interaction_M_conv,beta_interaction_M_div,window_index,window_start,window_end,window_center,n_subjects,n_pairs,coupling_mean,coupling_sd,coupling_se,ci_low,ci_high
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,6,12.166666666666668,14.666666666666668,13.416666666666668,6,15,1.0454636219066111,0.016163432828967105,0.004173380410942122,1.0365126111576093,1.054414632655613
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,7,13.0,15.5,14.25,7,21,1.0399618050139363,0.02318451532102323,0.005059276019497731,1.0294083401676355,1.0505152698602371
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,8,13.833333333333334,16.333333333333336,15.083333333333336,7,21,1.0331552128516583,0.03334781647433995,0.0072770901550075345,1.0179754687858547,1.048334956917462
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,9,14.666666666666668,17.166666666666668,15.916666666666668,7,21,1.037067367408029,0.041951206730319136,0.009154503825544207,1.0179714070500885,1.0561633277659697
R_101,RH_Vis_1,0.7966806189176344,-0.2344423268351327,0.75303283976639,0.4295381998196168,10,15.5,18.0,16.75,7,21,1.0497478267813807,0.059785781064921786,0.013046327010098174,1.0225336655172388,1.0769619880455226
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,1,8.0,10.5,9.25,7,21,0.300369835997327,0.19653050371208866,0.04288647188706886,0.21091022325870745,0.3898294487359465
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,2,8.833333333333334,11.333333333333334,10.083333333333334,7,21,0.6738660284125549,0.1346891174440605,0.029391575046390683,0.6125562772082133,0.7351757796168966
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,3,9.666666666666666,12.166666666666666,10.916666666666666,7,21,0.8509585201101031,0.09617301410596088,0.02098667223583912,0.807181088946394,0.8947359512738122
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,4,10.5,13.0,11.75,7,21,0.9696337038622905,0.05713272460474722,0.01246738262668191,0.943627199419955,0.9956402083046261
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,5,11.333333333333334,13.833333333333334,12.583333333333334,6,15,1.0420227005753404,0.01772676789060791,0.004577031788160588,1.032205943725921,1.0518394574247598
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,6,12.166666666666668,14.666666666666668,13.416666666666668,6,15,1.042111541921334,0.015139303877579236,0.0039089514527358505,1.0337276748817927,1.0504954089608753
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,7,13.0,15.5,14.25,7,21,1.0372531853792524,0.02164926529498421,0.004724256997830744,1.0273985579662877,1.047107812792217
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,8,13.833333333333334,16.333333333333336,15.083333333333336,7,21,1.0311542658391575,0.031542539023100696,0.006883146318307495,1.0167962742169856,1.0455122574613294
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,9,14.666666666666668,17.166666666666668,15.916666666666668,7,21,1.0353180435096805,0.03994842529731915,0.008717461086631132,1.0171337383300056,1.0535023486893553
V_1,Tian_1,0.7952392485858291,-0.2258129354329101,0.7347227750459628,0.4176681932121243,10,15.5,18.0,16.75,7,21,1.0480156621265444,0.05729943580145431,0.012503761992306048,1.0219332716572822,1.0740980525958066
V_2,Tian_2,0.7988589612144001,-0.2339713982664239,0.7562882360211137,0.425072735888778,1,8.0,10.5,9.25,7,21,0.27973325458546194,0.20256744647413183,0.04420384080007736,0.18752565844774233,0.37194085072318156
V_2,Tian_2,0.7988589612144001,-0.2339713982664239,0.7562882360211137,0.425072735888778,2,8.833333333333334,11.333333333333334,10.083333333333334,7,21,0.6654541736676074,0.139236967617341,0.030383997316313346,0.6020742658839545,0.7288340814512603
V_2,Tian_2,0.7988589612144001,-0.2339713982664239,0.7562882360211137,0.425072735888778,3,9.666666666666666,12.166666666666666,10.916666666666666,7,21,0.8490298933542019,0.09981644061941018,0.021781733082833904,0.8035939943253093,0.8944657923830944
V_2,Tian_2,0.7988589612144001,-0.2339713982664239,0.7562882360211137,0.425072735888778,4,10.5,13.0,11.75,7,21,0.9728391960148531,0.059867297209710506,0.01306411529123414,0.945587929046472,1.0000904629832341
V_2,Tian_2,0.7988589612144001,-0.2339713982664239,0.7562882360211137,0.425072735888778,5,11.333333333333334,13.833333333333334,12.583333333333334,6,15,1.0497620344105636,0.018981916144370756,0.004901109673750243,1.0392501996262833,1.060273869194844
V_2,Tian_2,0.7988589612144001,-0.2339713982664239,0.7562882360211137,0.425072735888778,6,12.166666666666668,14.666666666666668,13.416666666666668,6,15,1.052151231425522,0.015352053165325275,0.003963883082626377,1.0436495477574457,1.0606529150935982
V_2,Tian_2,0.7988589612144001,-0.2339713982664239,0.7562882360211137,0.425072735888778,7,13.0,15.5,14.25,7,21,1.0497946164789116,0.022518511207539733,0.00491394200696487,1.0395443130703987,1.0600449198874244
V_2,Tian_2,0.7988589612144001,-0.2339713982664239,0.7562882360211137,0.425072735888778,8,13.833333333333334,16.333333333333336,15.083333333333336,7,21,1.0451191572289293,0.032824169046316125,0.007162820918036671,1.0301777746145937,1.060060539843265
V_2,Tian_2,0.7988589612144001,-0.2339713982664239,0.7562882360211137,0.425072735888778,9,14.666666666666668,17.166666666666668,15.916666666666668,7,21,1.0507064291120354,0.04173775280542292,0.009107924360390762,1.0317076318157983,1.0697052264082725
V_2,Tian_2,0.7988589612144001,-0.2339713982664239,0.7562882360211137,0.425072735888778,10,15.5,18.0,16.75,7,21,1.0650659149477701,0.05956100389441289,0.012997276610176509,1.0379540710249386,1.0921777588706016
